Delta	B2	power
4.800000000000001	10	0.9254075775816022
4.800000000000001	20	0.9377556410098056
4.9	2	0.6850814373794232
4.9	5	0.8712156451549937
4.9	10	0.9234981337520799
4.9	20	0.9367178111043613
5	2	0.6981884764704652
5	5	0.8715246542507303
5	10	0.9198119579339044
5	20	0.9316304970481114
5.1000000000000005	2	0.7045642589905582
5.1000000000000005	5	0.8715381661660871
5.1000000000000005	10	0.9169248240380423
5.1000000000000005	20	0.9292056587099027
5.2	2	0.6992354505269052
5.2	5	0.8626292943639771
5.2	10	0.9149665257868883
5.2	20	0.9265105424848031
5.300000000000001	2	0.698132692035719
5.300000000000001	5	0.8709352447435273
5.300000000000001	10	0.9125447887504285
5.300000000000001	20	0.9254381789989732
5.4	2	0.6867808564050465
5.4	5	0.8658209714275332
5.4	10	0.9090847297246831
5.4	20	0.9190034502147842
5.5	2	0.696241183718178
5.5	5	0.8632811709181027
5.5	10	0.906654325697147
5.5	20	0.9113299151861307
5.6000000000000005	2	0.6934540058098986
5.6000000000000005	5	0.864460956475057
5.6000000000000005	10	0.9030379367057074
5.6000000000000005	20	0.9132517849684265
5.7	2	0.6854889906477752
5.7	5	0.856230203594445
5.7	10	0.9018283308461199
5.7	20	0.9081242804860943
5.800000000000001	2	0.6914157892078748
5.800000000000001	5	0.8611910702635387
5.800000000000001	10	0.8937518233170868
5.800000000000001	20	0.9009042651344643
5.9	2	0.7079565084244249
5.9	5	0.8524941736345621
5.9	10	0.8985519646011214
5.9	20	0.903407760183953
6	2	0.693660166884863
6	5	0.8508020371071401
6	10	0.8879267090528188
6	20	0.8943315143185492
6.1000000000000005	2	0.6893979100372879
6.1000000000000005	5	0.8541113996061327
6.1000000000000005	10	0.8835777206728589
6.1000000000000005	20	0.8946021126195901
6.2	2	0.6968989416426467
6.2	5	0.8427257650185225
6.2	10	0.8870030470428449
6.2	20	0.8908334538580545
6.300000000000001	2	0.7041085699343549
6.300000000000001	5	0.840118919309775
6.300000000000001	10	0.8766686109789961
6.300000000000001	20	0.884281641607299
6.4	2	0.6914056191561384
6.4	5	0.8441138295531868
6.4	10	0.872928477146782
6.4	20	0.879485401535115
6.5	2	0.6983619160646363
6.5	5	0.8335427525038096
6.5	10	0.8703538656913424
6.5	20	0.8691091469582622
6.6000000000000005	2	0.6842202803597602
6.6000000000000005	5	0.8355897096808337
6.6000000000000005	10	0.8649404875317417
6.6000000000000005	20	0.8612893246172119
6.7	2	0.6951484229816411
6.7	5	0.8360178514065267
6.7	10	0.8617566078869808
6.7	20	0.8633223766830335
6.800000000000001	2	0.6850874725056111
6.800000000000001	5	0.8317574677734854
6.800000000000001	10	0.8544913300115149
6.800000000000001	20	0.8547666427295546
6.9	2	0.6775462657296074
6.9	5	0.8252361160713485
6.9	10	0.8553697177293812
6.9	20	0.8532708776938908
7	2	0.688173990545473
7	5	0.8298424508640165
7	10	0.8456779924323043
7	20	0.8416284965548354
7.1000000000000005	2	0.6799605028979027
7.1000000000000005	5	0.8235986477491816
7.1000000000000005	10	0.8384919767963311
7.1000000000000005	20	0.8464990394127982
7.2	2	0.678338858151154
7.2	5	0.8132743407541574
7.2	10	0.8319356226991195
7.2	20	0.8430680383825231
7.300000000000001	2	0.6743363315455663
7.300000000000001	5	0.8167249831446245
7.300000000000001	10	0.8296951936926069
7.300000000000001	20	0.8306995378955265
7.4	2	0.68014701175202
7.4	5	0.8057698431126366
7.4	10	0.8281751218312905
7.4	20	0.8201820690179047
7.5	2	0.681959828008518
7.5	5	0.8081983611814264
7.5	10	0.8201487161567874
7.5	20	0.8228959776565782
7.6000000000000005	2	0.6704232422127361
7.6000000000000005	5	0.7943617887444017
7.6000000000000005	10	0.8217359563134411
7.6000000000000005	20	0.8150540017861906
7.7	2	0.67883153684649
7.7	5	0.793420372542619
7.7	10	0.8099212687027927
7.7	20	0.8129341363416754
7.800000000000001	2	0.6704779454191809
7.800000000000001	5	0.7996486899907586
7.800000000000001	10	0.8033486574072054
7.800000000000001	20	0.8040043052133141
7.9	2	0.6881221623450892
7.9	5	0.7946949950388406
7.9	10	0.800112832881732
7.9	20	0.7959234293842433
8	2	0.6753249069462661
8	5	0.7901785023505039
8	10	0.7881764380909715
8	20	0.8087804868670229
8.1	2	0.6786921315771256
8.1	5	0.7829165588876367
8.1	10	0.7869472450495884
8.1	20	0.7961155827000804
8.200000000000001	2	0.6692059833956456
8.200000000000001	5	0.7808988375896339
8.200000000000001	10	0.7855424160426465
8.200000000000001	20	0.7834927509395556
8.3	2	0.677279335919014
8.3	5	0.7748797015479432
8.3	10	0.7928475832282269
8.3	20	0.7825530025320682
8.4	2	0.66067742435598
8.4	5	0.7601576601497259
8.4	10	0.7794224592991843
8.4	20	0.7855612428041074
8.5	2	0.6724180832627363
8.5	5	0.767961238913511
8.5	10	0.7825225074625752
8.5	20	0.7874562757680071
8.6	2	0.664980194570768
8.6	5	0.7684879726396561
8.6	10	0.7752468519125921
8.6	20	0.7673201683321941
8.700000000000001	2	0.66601732599992
8.700000000000001	5	0.7665235106630394
8.700000000000001	10	0.7740914840185179
8.700000000000001	20	0.7697614503543919
8.8	2	0.6679063388428008
8.8	5	0.7527941533842526
8.8	10	0.7637288993820163
8.8	20	0.7685039221008417
8.9	2	0.6721137825532003
8.9	5	0.7596375928644008
8.9	10	0.7649549995094256
8.9	20	0.7596359041171081
9	2	0.6656831234089566
9	5	0.7543725120894368
9	10	0.7603760133875904
9	20	0.7656391519851772
9.1	2	0.6686118961544671
9.1	5	0.7477047648072054
9.1	10	0.7555329936602574
9.1	20	0.7532102393296481
9.200000000000001	2	0.6609480562381334
9.200000000000001	5	0.7504536484404476
9.200000000000001	10	0.7594990709893892
9.200000000000001	20	0.7573697078289777
9.3	2	0.6673881135564329
9.3	5	0.7490914321026093
9.3	10	0.7527261581010342
9.3	20	0.754536663054859
9.4	2	0.6412897290798162
9.4	5	0.7473070188288796
9.4	10	0.7440170766578843
9.4	20	0.7516659048223769
9.5	2	0.6657494847123271
9.5	5	0.7406525143330589
9.5	10	0.7457784824889521
9.5	20	0.7394444079718444
9.600000000000001	2	0.6502699067825161
9.600000000000001	5	0.7358095007380742
9.600000000000001	10	0.7372865219579292
9.600000000000001	20	0.7415984839837648
9.700000000000001	2	0.6544361420635585
9.700000000000001	5	0.7434906894470343
9.700000000000001	10	0.7364276423878744
9.700000000000001	20	0.7414921137495348
9.8	2	0.6604039983412106
9.8	5	0.7323110693061937
9.8	10	0.7397107272863962
9.8	20	0.7360751829796243
9.9	2	0.6548461484718544
9.9	5	0.7300494326020097
9.9	10	0.7211801703559981
9.9	20	0.7315520492725044
10	2	0.6435529720849708
10	5	0.7205446843003867
10	10	0.7266846730828419
10	20	0.7347622601755402
10.100000000000001	2	0.6487669757865843
10.100000000000001	5	0.7264313767774828
10.100000000000001	10	0.7297299321163176
10.100000000000001	20	0.7368038210586433
10.200000000000001	2	0.6472696133056871
10.200000000000001	5	0.730352497728052
10.200000000000001	10	0.7231853733306609
10.200000000000001	20	0.7304921724663541
10.3	2	0.6523403276655996
10.3	5	0.7239089530679325
10.3	10	0.7228703405287106
10.3	20	0.7209967361312029
10.4	2	0.6438642325741675
10.4	5	0.7131309810624705
10.4	10	0.7206313795850132
10.4	20	0.7179331429152428
10.5	2	0.653848220388264
10.5	5	0.7126686768533397
10.5	10	0.7119507984492985
10.5	20	0.7115042306463664
10.600000000000001	2	0.6423725841522407
10.600000000000001	5	0.7102501100623966
10.600000000000001	10	0.7084269114993061
10.600000000000001	20	0.7252061697068236
10.700000000000001	2	0.6397841292583306
10.700000000000001	5	0.7170236387938372
10.700000000000001	10	0.7155614722162867
10.700000000000001	20	0.7077613048407801
10.8	2	0.6380719190056123
10.8	5	0.7169581848017844
10.8	10	0.7105238521426719
10.8	20	0.7092155754424262
10.9	2	0.6347905744466188
10.9	5	0.7002329527465864
10.9	10	0.7068182132983974
10.9	20	0.7036676817485558
11	2	0.6490575415760788
11	5	0.6979157387288851
11	10	0.7107129635669531
11	20	0.704880412709893
11.100000000000001	2	0.6274030804875883
11.100000000000001	5	0.694025484172263
11.100000000000001	10	0.6991631211543167
11.100000000000001	20	0.7010133379224537
11.200000000000001	2	0.6370014876307536
11.200000000000001	5	0.6990718358417507
11.200000000000001	10	0.7004312596742475
11.200000000000001	20	0.7133716697028011
11.3	2	0.636293669497942
11.3	5	0.7012420934898291
11.3	10	0.6925422340980085
11.3	20	0.6996280741680612
11.4	2	0.6271744106739033
11.4	5	0.6891987828788175
11.4	10	0.6935101772500043
11.4	20	0.6967792800609889
11.5	2	0.6344130542932319
11.5	5	0.6868644968047408
11.5	10	0.6850782431162401
11.5	20	0.6911517723605946
11.600000000000001	2	0.6485021698014515
11.600000000000001	5	0.69533390276393
11.600000000000001	10	0.699091486368143
11.600000000000001	20	0.6850683243189323
11.700000000000001	2	0.6387502796823818
11.700000000000001	5	0.6892927297918373
11.700000000000001	10	0.6787262198271254
11.700000000000001	20	0.6933555880132216
11.8	2	0.6270031885423459
11.8	5	0.6905337798657112
