Dim_1	Dim_2	YTest	Model
-0.2590430129079714	-2.2142639630636496	1	1
1.4505848347914942	-1.7509922311874095	1	1
2.803867310713141	-1.320568117521201	1	1
1.2486275992729863	-0.9606127764919955	1	1
1.0816459997708938	-3.586524266161755	1	1
-0.8558385266758132	-0.22937098255372856	1	1
0.4340179431959235	-2.4110511428582804	1	1
1.9758120338164376	-1.3440633101481576	1	1
0.4057148323017363	-0.324103857246763	1	1
-0.08483739658821553	-2.3146174454621273	1	1
-0.4160147942072612	-1.7851433626882365	1	1
0.3774806148379722	-0.791060043430866	1	1
0.9139377775545928	-2.2448794025657404	1	1
-0.9463711677655424	-1.722650776059909	1	1
1.218414057603939	-1.0045203580895798	1	1
-0.25263391289109227	-2.51860418074392	1	1
-0.2176700874430888	-2.916437887997336	1	1
1.7661371363848353	-2.2404858136767944	1	1
-0.562284689493153	-2.320692251022168	1	1
0.4588879756501095	-1.652644378013424	1	1
0.19151123759865674	-1.7292742473794795	1	1
0.2878650044429806	-2.825324626172971	1	1
1.2657940560022751	-0.7629515604097894	1	1
0.9836276445591973	-3.8083639164131347	1	1
1.830752952370701	-1.6594997236753415	1	1
1.354956558118775	-2.7081653477252567	1	1
2.4283745565146058	-2.3337628402754285	1	1
0.289591858954207	-2.437722219412893	1	1
0.5330127088580158	-2.331410612400953	1	1
0.8400419412190168	-2.042678542515969	1	1
0.5421378958147522	-2.3803155863651253	1	1
0.5663135788551963	-3.01960433523	1	1
1.688850347854834	-1.0236064877239068	1	1
0.6634605498450272	-1.8083353232845243	1	1
2.204825706384304	-1.8537780285604213	1	1
1.3862224609414306	-1.6556494874713898	1	1
0.8723398039357153	-2.1599984901066813	1	1
0.5893096797121098	-2.2092634965153484	1	1
0.9533280427427411	-2.3131205783262145	1	1
0.9218035711344552	-1.562979745289064	1	1
0.6444238171707328	-2.316357513890569	1	1
1.717783017235175	-0.6037991360945175	1	1
0.2720984343358795	-2.3270142560957874	1	1
-0.46094353213069444	-3.1873046265623937	1	1
1.2306716030816471	-0.7592838096648792	1	1
0.16281058471783638	-3.271532634293915	1	1
3.036885282616945	-0.7409852870915918	1	1
-0.07213413749095912	-3.6632553282548	1	1
-0.030314100655002507	-0.7352969902286391	1	1
0.7678741098990954	-3.2593613468341642	1	1
1.3306670803987686	-0.7903856104849449	1	1
2.5433712555883217	-3.3625280073385255	1	1
1.0415886017541092	-1.838913422632576	1	1
0.7893848611892671	-2.4198297200669954	1	1
-1.1541960219401495	-2.0311694837162864	1	1
-1.009361080234851	-1.0882203229218703	1	1
0.40129467813240766	-1.5128675111210674	1	1
0.9075206760205345	-3.605789560090368	1	1
1.487748452226533	-2.161399582856812	1	1
1.8777215198949093	-2.1960275270149032	1	1
0.6380574778160945	-2.2929119413756656	1	1
0.9393726847128886	-2.7366815921359047	1	1
0.27703442876430073	-1.4953177985998678	1	1
-0.872358018666169	-1.1084119725792791	1	1
1.2517382006546378	-3.0004216893348983	1	1
2.083998017346054	-0.4883207511577136	1	1
0.6621136240027392	-2.2497971524034637	1	1
-0.48042620621927806	-1.0787572095244815	1	1
2.4912613949829683	-2.8733848998077356	1	1
-0.51674734310107	-0.8853807870978485	1	1
1.322190356104806	-0.10049767139574994	1	1
0.03905087486836138	-1.8118640496786145	1	1
